 release_year |                                                                            title                                                                             |    budget    
         2010 | The Black Waters of Echo's Pond (2009)                                                                                                                       |   5000000.00
         2010 | The Child's Eye (2010)                                                                                                                                       |   4500000.00
         2010 | The Final Storm (2010)                                                                                                                                       |   5000000.00
         2010 | The Last Exorcism (2010)                                                                                                                                     |   1800000.00
         2010 | The Maze (2010)                                                                                                                                              |    200000.00
         2010 | The New Daughter (2009)                                                                                                                                      |  15000000.00
         2010 | The Unforgiving (2010)                                                                                                                                       |      5000.00
         2010 | The Valdemar Legacy (2010)                                                                                                                                   |   7605000.00
         2010 | The Wolfman (2010)                                                                                                                                           | 150000000.00
         2010 | We Are the Night (2010)                                                                                                                                      |   7605000.00
